0h,0.5h,1h,2h,4h,6h,12h,24h,48h,72h
6.199,6.317,6.178,6.362,6.256,6.352,6.340,6.398,6.838,6.717
6.154,6.245,6.149,6.140,6.264,6.264,6.565,6.289,6.150,7.155
6.551,6.327,6.470,6.698,6.897,7.013,7.055,7.066,7.413,7.397
6.405,6.338,6.314,6.336,6.321,6.296,6.518,6.685,6.585,6.889
6.710,6.594,6.557,6.422,6.370,6.555,7.456,7.623,7.252,7.218
8.063,7.999,7.617,7.605,8.062,8.393,8.460,8.381,8.717,8.906
7.204,7.186,7.026,6.661,6.686,7.031,7.010,7.151,7.292,7.732
6.184,6.400,6.229,6.103,6.460,6.524,6.581,6.385,6.695,6.866
6.469,6.425,6.587,7.580,7.471,7.309,6.920,6.973,6.770,7.012
12.180,12.357,12.581,12.825,12.384,12.087,12.101,12.035,12.249,12.107
8.030,8.085,8.524,8.767,8.659,8.582,8.496,8.384,8.321,8.269
13.682,13.199,13.733,13.489,13.781,13.755,13.887,13.867,13.847,13.643
6.427,6.396,6.347,6.438,6.501,6.558,6.762,7.249,7.282,7.249
6.496,6.617,6.578,6.605,6.407,6.561,6.930,7.150,7.123,7.148
6.326,6.234,6.367,6.183,6.224,6.326,6.438,6.718,6.894,6.710
7.534,7.630,7.465,7.356,7.943,8.107,8.350,8.110,8.054,8.625
6.625,6.326,6.426,6.288,6.316,6.400,6.253,6.461,6.880,6.829
7.690,7.536,7.492,7.351,7.572,7.783,8.364,8.577,8.621,8.642
6.120,6.365,6.155,6.159,6.651,7.248,7.747,7.670,8.282,8.572
6.645,6.622,6.446,6.665,6.669,6.608,6.469,6.831,7.151,7.468
6.531,6.431,6.528,6.558,6.577,6.657,6.934,7.381,7.722,7.747
13.710,13.699,13.688,13.608,13.699,13.461,13.532,13.482,13.375,13.636
6.223,6.113,6.145,6.380,6.349,6.354,6.176,6.221,6.399,7.048
6.250,6.080,6.248,6.262,6.244,6.331,7.086,7.678,8.037,8.528
8.196,8.266,8.170,8.193,8.832,8.891,9.025,8.739,8.719,8.497
6.476,6.418,6.560,6.382,6.505,6.545,6.580,6.654,6.513,6.818
6.492,6.414,6.427,6.503,6.722,6.659,6.712,7.228,7.615,8.043
6.406,6.391,6.330,6.331,6.336,6.342,6.381,6.384,6.732,6.977
7.350,7.534,7.682,7.510,7.452,7.412,7.379,7.314,7.245,7.613
6.315,6.488,6.431,6.408,6.409,6.347,6.944,7.604,8.048,7.978
6.206,6.256,6.253,6.279,6.342,6.345,6.239,6.546,6.520,6.716
8.205,8.508,8.052,8.185,8.079,8.264,8.218,7.865,7.935,8.294
6.144,5.993,6.067,6.208,6.099,6.228,6.162,6.811,7.002,7.276
6.382,6.495,6.456,6.414,6.441,6.369,6.395,7.037,8.672,8.598
6.182,6.302,6.323,6.437,6.384,6.461,6.526,6.672,6.871,7.073
6.164,6.218,6.267,6.251,6.210,6.158,6.206,6.520,6.601,6.597
6.437,6.456,6.359,6.469,6.250,6.303,6.454,7.145,7.861,8.163
8.545,8.692,8.985,8.966,8.517,8.563,8.779,8.339,8.408,8.292
6.686,6.740,7.067,7.001,6.911,6.894,7.267,7.214,7.217,7.254
6.146,6.168,6.149,6.142,6.187,6.154,6.405,6.650,6.644,6.595
6.409,6.507,6.431,6.607,6.547,6.531,6.839,7.198,7.356,7.355
8.990,8.988,8.668,8.602,9.389,9.626,10.109,10.419,10.361,10.480
8.586,8.665,8.909,9.704,9.271,9.302,9.563,9.714,9.444,9.715
6.241,6.267,6.208,6.140,6.180,6.196,6.228,6.400,6.350,6.637
6.503,6.417,6.344,6.407,6.312,6.283,6.349,6.933,7.445,7.831
6.208,6.306,6.314,6.315,6.339,6.395,6.533,6.567,6.817,7.035
6.897,6.662,6.517,6.405,6.540,6.437,6.753,7.403,7.662,7.968
8.135,8.230,8.128,8.336,8.658,8.908,9.256,9.406,9.327,9.025
9.972,10.353,10.359,10.932,10.689,10.396,10.601,10.063,9.830,10.168
6.547,6.313,6.332,6.415,6.473,6.498,6.924,6.761,6.884,7.089
6.542,6.529,6.747,6.543,6.421,6.331,6.687,6.679,6.798,6.972
6.259,6.327,6.223,6.180,6.449,6.437,6.412,6.562,6.515,6.702
6.232,6.246,6.210,6.375,6.289,6.296,6.284,6.155,6.489,6.947
6.348,6.437,6.654,6.513,6.540,6.533,6.390,6.400,6.423,6.627
6.139,5.971,6.030,5.965,5.979,5.970,6.420,6.528,6.711,6.896
6.328,6.400,6.207,6.276,6.390,6.477,6.672,7.340,7.823,7.874
6.222,6.295,6.250,6.381,6.257,6.327,6.467,6.638,6.869,7.013
6.268,6.251,6.197,6.244,6.265,6.117,6.218,6.515,7.357,7.432
6.801,6.907,6.904,6.715,6.448,6.485,6.653,7.029,7.027,7.376
6.307,6.385,6.332,6.311,6.468,6.571,6.695,6.852,6.894,6.999
6.942,6.722,6.807,6.901,6.740,6.535,6.879,7.054,7.060,7.492
6.622,6.598,6.590,6.669,6.575,6.662,6.736,7.099,7.260,7.419
6.438,6.471,6.477,6.311,6.348,6.489,6.511,6.698,6.768,6.820
6.254,6.317,6.287,6.281,6.321,6.173,6.368,6.479,6.649,6.815
6.757,6.809,6.975,6.860,6.726,6.666,6.739,6.969,6.974,7.094
6.290,6.101,6.180,6.154,6.322,6.417,6.475,6.666,6.489,6.553
6.145,6.103,6.206,6.064,6.103,6.151,6.248,6.281,6.508,6.615
6.368,6.441,6.343,6.399,6.374,6.189,6.359,6.446,6.702,6.530
6.331,6.450,6.408,6.307,6.324,6.542,6.858,7.000,7.025,7.113
6.284,6.223,6.221,6.197,6.257,6.197,6.234,6.589,6.689,6.590
6.895,6.915,6.717,6.561,6.525,6.662,6.699,6.924,6.855,6.905
6.438,6.387,6.394,6.152,6.445,6.515,6.476,6.911,7.177,7.196
6.280,6.345,6.229,6.211,6.203,6.331,6.317,6.476,6.336,6.344
6.283,6.355,6.253,6.372,6.374,6.256,6.400,6.534,6.468,6.736
6.246,6.130,6.252,6.268,6.269,6.267,6.342,6.386,6.377,6.439
6.357,6.380,6.412,6.407,6.381,6.174,6.234,6.246,6.312,6.590
6.358,6.357,6.436,6.353,6.453,6.471,6.387,7.123,7.903,7.868
6.369,6.386,6.571,6.296,6.180,6.213,6.176,6.091,6.139,6.330
7.169,7.272,7.091,7.125,7.073,7.236,7.155,6.942,6.847,6.732
6.108,6.016,6.129,6.071,6.066,6.093,6.068,6.056,6.216,6.313
6.725,6.512,6.339,6.415,6.578,6.616,6.972,7.091,6.743,6.680
6.255,6.304,6.297,6.368,6.210,6.278,6.271,6.502,6.617,6.689
6.565,6.605,6.616,6.585,6.659,7.099,6.790,6.748,6.648,6.677
6.471,6.440,6.282,6.304,6.450,6.371,6.559,6.885,7.418,7.164
7.446,7.355,7.104,6.999,7.168,7.045,7.280,7.095,6.971,6.916
6.402,6.304,6.322,6.196,6.380,6.370,6.621,6.819,6.916,6.742
6.248,6.164,6.251,6.175,6.184,6.148,6.221,6.676,7.155,7.087
7.041,7.156,7.068,6.869,7.156,7.523,7.668,7.818,7.847,7.625
6.182,6.189,6.270,6.172,6.173,6.255,6.245,6.267,6.352,6.301
6.267,6.127,6.168,6.211,6.179,6.171,6.261,6.649,7.571,7.491
6.206,6.196,6.187,6.064,6.143,6.186,6.278,6.567,6.692,6.913
12.506,12.583,12.393,12.222,12.399,12.656,12.803,12.867,13.093,12.833
6.172,6.175,6.227,6.367,6.434,6.400,6.409,6.567,6.485,6.318
8.925,9.092,9.133,9.215,9.186,9.479,9.728,9.843,9.794,9.703
6.736,6.584,6.428,6.468,6.644,6.768,6.923,7.166,7.091,6.887
6.310,6.346,6.296,6.452,6.401,6.499,7.040,7.505,6.973,6.739
9.378,9.411,9.196,9.935,9.978,9.687,9.293,8.596,8.511,8.235
11.437,11.741,11.401,11.508,11.104,10.807,10.594,10.315,10.094,10.025
6.304,6.309,6.313,6.313,6.357,6.279,6.333,6.517,6.681,6.774
6.355,6.181,6.247,6.492,6.279,6.208,6.255,6.205,6.250,6.324
6.157,6.332,6.336,6.456,6.174,6.007,6.114,6.248,6.242,6.299
6.131,6.168,6.039,6.146,6.149,6.183,6.099,6.225,7.088,6.545
9.944,10.344,9.870,10.190,9.968,10.149,10.014,10.010,9.918,9.759
10.590,10.542,10.024,9.889,10.750,10.699,10.578,10.468,10.688,10.668
7.817,7.633,7.322,7.184,7.533,7.687,7.882,7.906,7.800,7.685
10.133,9.777,9.546,9.832,10.506,10.850,10.752,10.330,9.719,9.462
9.789,10.218,9.815,9.680,9.542,9.348,8.955,8.551,8.559,8.356
6.608,6.755,6.902,7.380,7.267,7.045,7.113,6.979,7.064,6.732
6.281,6.276,6.315,6.258,6.358,6.181,6.218,6.584,7.729,7.831
8.069,8.334,8.526,8.641,8.421,8.382,8.305,8.197,8.104,7.941
7.186,7.473,7.052,6.537,6.326,6.312,6.475,6.568,6.582,6.588
10.978,11.079,10.765,11.216,10.834,10.787,10.947,10.753,10.488,10.616
6.677,6.645,6.460,6.412,6.637,6.814,6.935,7.074,7.225,7.325
6.367,6.308,6.407,6.438,6.332,6.366,6.273,6.529,7.685,7.727
6.314,6.441,6.195,6.363,6.412,6.448,6.425,6.524,6.515,6.622
9.347,9.677,9.639,9.455,9.293,9.184,9.255,9.280,9.533,9.297
6.385,6.437,6.374,6.466,6.846,6.671,6.363,6.472,6.619,6.636
10.736,11.054,10.604,10.585,10.335,10.018,9.671,9.652,9.558,9.815
6.304,6.346,6.284,6.388,6.315,6.343,6.240,6.555,6.607,6.506
10.230,10.366,10.065,10.311,10.198,10.032,9.892,9.904,9.713,9.672
8.047,7.890,7.858,7.513,7.880,7.690,8.425,9.767,10.130,9.688
7.459,7.764,7.382,7.547,7.449,7.192,7.138,6.940,7.049,6.910
6.174,6.186,6.150,6.181,6.125,6.103,6.346,6.361,7.846,8.028
9.062,9.193,8.851,8.995,8.891,8.802,9.058,9.270,9.425,9.366
7.974,8.020,7.785,7.699,7.015,7.036,7.226,7.085,7.050,7.423
9.136,8.976,8.893,8.748,9.366,9.661,10.086,10.289,10.068,9.879
6.904,6.886,6.916,7.318,7.226,7.354,7.828,7.521,7.786,8.172
6.774,7.195,6.668,6.729,7.093,7.070,7.071,7.237,7.236,7.193
6.451,6.278,6.464,6.247,6.178,6.097,6.206,6.246,6.282,6.417
7.010,7.034,6.932,6.818,6.809,6.879,6.621,6.709,6.766,6.756
10.306,10.328,9.981,9.804,9.598,9.406,9.527,9.428,9.514,9.455
7.161,7.605,7.253,7.546,7.376,7.782,8.288,8.228,8.249,7.804
6.509,6.387,6.423,6.348,6.511,6.492,6.396,6.461,6.510,6.367
6.563,6.657,6.810,6.384,6.371,6.566,6.685,6.681,6.782,6.557
6.769,6.793,6.685,6.598,6.780,7.001,6.862,7.172,6.967,6.739
6.641,6.586,6.587,6.553,6.906,7.035,7.087,7.361,7.344,7.399
7.605,7.599,7.348,7.165,7.092,7.215,7.379,7.234,6.984,6.832
8.185,7.992,7.822,8.137,8.004,7.979,7.912,7.954,7.803,7.828
6.321,6.445,6.424,6.567,6.281,6.500,6.367,6.512,6.586,6.510
6.931,7.385,7.357,7.126,6.636,6.728,6.657,6.550,6.356,6.357
6.500,6.482,6.416,6.581,6.535,6.519,6.518,6.501,6.564,6.503
6.596,6.722,6.496,6.654,6.991,7.197,7.406,7.341,7.411,7.270
8.130,8.015,7.979,8.551,8.225,8.059,7.600,7.375,7.183,7.497
10.936,11.544,11.052,11.347,10.862,10.540,10.228,10.165,10.291,10.180
9.756,9.682,9.837,10.478,8.772,8.226,7.857,7.441,7.147,7.343
6.212,6.238,6.236,6.324,6.396,6.291,6.390,6.348,6.432,6.439
6.242,6.178,6.128,6.183,6.036,6.147,6.151,6.254,6.288,6.260
8.729,8.944,8.746,9.029,8.836,8.971,9.490,9.364,8.998,8.918
6.611,6.632,6.584,6.572,6.939,7.106,6.997,6.804,6.867,6.679
6.340,6.427,6.362,6.286,6.247,6.269,6.287,6.458,6.670,6.566
10.858,11.243,10.889,11.455,11.505,11.486,11.348,10.948,11.268,11.073
6.486,6.685,6.536,6.568,6.661,6.704,7.024,6.754,6.938,6.741
6.104,6.160,6.212,6.341,6.193,6.247,6.330,6.512,6.246,6.055
9.487,10.002,9.448,9.489,9.841,9.743,9.535,9.155,8.799,8.639
8.177,8.363,8.070,8.288,8.421,9.114,9.108,9.285,9.091,8.806
7.305,7.466,7.117,6.842,6.941,6.786,6.934,6.865,6.788,6.858
9.468,9.612,9.692,10.073,9.762,9.421,9.034,9.322,9.185,9.225
9.711,9.676,9.545,8.859,9.489,9.805,9.657,9.973,9.895,9.790
6.434,6.415,6.596,6.302,6.183,6.320,6.404,6.360,6.234,6.263
8.327,8.233,8.107,7.570,7.408,7.282,6.996,7.058,6.857,6.792
7.171,6.977,6.989,6.912,6.606,6.891,6.771,6.643,6.522,6.406
8.390,8.908,8.023,7.909,8.224,8.093,8.003,7.835,7.775,7.495
6.416,6.686,6.625,6.574,6.428,6.575,7.175,7.524,7.510,7.236
6.513,6.652,6.542,6.384,6.574,6.496,6.549,6.375,6.302,6.376
7.916,7.868,7.798,7.810,8.449,8.470,8.274,8.142,7.960,7.658
9.975,9.976,10.006,10.426,10.086,10.201,10.435,10.988,11.022,11.006
7.451,7.991,7.508,7.536,8.386,8.384,8.286,8.295,8.485,7.724
10.701,10.848,10.915,10.976,10.984,11.038,11.033,10.638,10.668,10.274
7.867,7.786,7.669,7.475,7.446,7.962,7.967,8.080,7.803,7.927
6.080,5.950,6.054,6.246,6.219,6.181,6.339,6.700,6.540,6.600
7.262,7.093,7.133,7.984,7.776,7.875,7.185,6.922,6.888,7.198
9.516,9.483,9.433,9.843,9.727,9.895,9.819,9.667,9.844,9.808
12.019,12.177,11.255,11.400,11.366,11.290,10.821,10.250,10.069,10.109
6.930,6.771,6.848,6.707,7.479,7.768,7.457,7.399,7.137,6.988
6.388,6.458,6.357,6.393,6.534,6.491,6.496,7.465,8.466,8.397
9.371,9.520,9.149,9.184,9.216,9.129,9.323,9.070,8.924,8.970
8.273,8.222,7.923,7.658,8.098,8.506,8.061,7.629,7.563,7.323
10.467,10.909,10.585,10.716,11.502,11.539,11.479,11.179,10.999,10.876
11.318,11.933,11.542,11.921,11.513,11.401,11.323,10.914,10.812,10.701
9.436,9.429,8.892,8.435,8.515,8.394,8.402,8.339,7.597,7.630
6.526,6.390,6.252,6.325,6.375,6.389,6.382,6.515,6.512,6.537
8.601,8.527,8.291,8.302,9.222,9.708,9.710,9.512,9.373,9.148
8.611,8.907,8.756,8.304,7.975,7.986,7.997,7.494,7.345,7.204
10.701,10.516,10.233,10.403,10.503,10.217,10.146,10.519,10.851,11.053
11.143,11.091,10.491,10.858,10.802,10.812,11.363,11.576,11.550,11.710
13.392,13.500,12.884,12.225,12.023,11.996,12.099,12.032,11.357,11.553
6.216,6.140,6.137,6.263,6.179,6.137,6.224,6.326,6.553,6.808
7.770,8.306,7.601,7.584,7.501,7.290,7.178,7.085,6.977,6.745
7.028,7.171,7.089,6.814,6.520,6.489,6.700,6.608,6.564,6.701
7.637,7.450,7.285,7.194,7.224,7.282,7.595,7.268,7.585,8.119
10.906,11.173,10.956,11.123,10.791,10.585,10.572,10.385,10.250,10.222
10.767,10.769,10.369,10.233,10.354,10.620,11.421,11.166,10.983,10.964
8.538,8.514,8.011,7.969,7.968,7.923,7.977,7.826,7.775,7.762
6.909,6.786,6.728,6.697,6.419,6.484,6.648,7.366,7.409,7.176
8.947,8.994,8.729,8.583,9.471,9.995,10.413,10.605,10.506,10.490
9.081,9.271,8.533,8.657,9.260,9.440,9.157,9.092,8.854,9.071
6.486,6.493,6.410,6.517,6.503,6.514,6.543,6.502,6.620,6.466
9.212,9.559,9.495,9.800,9.429,8.716,8.606,8.334,8.341,8.268
10.788,11.026,10.533,10.323,10.368,10.267,10.835,11.033,10.988,10.827
6.236,6.238,6.260,6.253,6.093,6.213,6.304,6.339,6.523,6.726
10.893,11.373,10.700,11.093,11.478,11.495,11.529,12.393,12.420,12.519
6.595,6.712,6.662,6.604,6.429,6.395,6.565,6.444,6.794,7.053
10.399,10.452,11.482,12.109,11.057,10.686,10.392,10.298,9.771,9.816
8.107,7.898,7.775,7.547,8.030,8.088,8.063,8.057,8.563,8.598
11.094,11.049,10.686,9.926,9.109,8.721,8.997,8.357,7.805,7.952
7.635,7.855,7.234,6.907,7.143,6.910,6.808,6.670,6.573,6.937
8.116,8.035,7.476,7.144,7.233,7.265,6.625,6.603,6.634,6.815
7.872,7.789,7.908,8.360,7.542,7.377,6.978,6.885,6.675,6.857
9.109,9.480,9.010,9.274,9.227,9.838,10.025,10.212,9.846,9.790
7.598,7.643,7.622,7.641,8.279,8.714,8.610,8.165,8.254,8.250
7.148,7.106,7.229,7.212,6.747,7.039,7.528,7.582,7.633,7.717
6.569,6.545,6.436,6.499,6.473,6.592,6.455,6.599,6.833,6.793
7.466,7.350,7.081,7.213,7.009,6.829,7.065,7.007,7.140,7.004
6.706,6.593,6.622,6.554,6.655,6.998,7.201,6.622,6.544,6.599
9.575,9.779,10.188,10.261,10.058,10.198,9.480,8.308,8.352,8.421
11.255,11.535,11.051,11.190,10.461,10.413,10.315,10.352,10.127,10.052
9.493,9.482,9.435,9.650,9.563,10.009,10.125,10.158,10.470,10.158
6.240,6.246,6.238,6.213,6.304,6.235,6.271,6.239,6.504,6.384
8.729,8.546,8.416,8.231,8.376,8.483,8.653,8.064,7.657,7.563
13.803,13.896,13.402,13.506,13.269,13.009,13.257,12.868,12.770,12.741
7.824,7.888,7.673,7.718,7.912,7.883,7.984,8.109,7.385,7.101
8.330,8.217,8.168,7.846,7.959,8.099,7.717,7.847,7.764,7.676
10.170,10.171,9.461,9.152,9.215,9.217,9.077,9.264,9.324,9.138
9.494,9.682,9.313,8.418,7.488,7.217,7.164,6.931,6.837,6.967
6.143,6.182,6.318,6.162,6.223,6.289,6.455,6.479,6.403,6.705
6.955,6.869,6.541,6.642,7.029,6.874,6.410,6.527,6.510,6.355
7.954,7.793,7.667,7.489,7.359,7.562,8.196,8.207,8.125,8.167
7.570,7.594,7.886,7.626,8.059,8.281,8.121,7.974,7.887,7.662
8.370,8.201,7.966,7.819,7.545,7.252,7.077,6.855,6.825,6.900
11.821,11.997,11.415,11.778,11.954,11.798,12.302,12.248,12.239,11.862
7.589,7.708,7.490,7.581,7.713,7.426,7.268,7.146,7.133,7.101
10.785,10.939,10.567,10.578,10.524,10.347,10.296,10.555,10.697,10.700
9.914,10.010,10.197,9.357,9.528,9.300,9.351,8.983,8.297,8.372
8.333,8.073,7.840,7.698,8.043,8.654,8.702,8.485,8.433,8.227
8.213,8.442,7.785,7.675,7.849,7.740,7.633,7.440,7.493,7.557
7.374,7.423,7.183,7.485,7.053,7.124,7.707,7.647,8.085,8.672
7.584,7.664,8.109,8.637,7.629,7.396,7.052,7.451,7.098,7.045
8.720,8.838,8.394,7.967,7.686,7.807,8.336,8.065,7.989,7.889
10.631,10.485,10.557,10.658,10.257,10.075,10.060,10.086,9.634,9.553
6.585,6.689,6.341,6.398,6.595,6.766,6.996,7.371,7.442,7.429
6.980,6.982,7.243,7.247,6.593,6.463,6.397,6.975,6.929,6.906
8.737,8.935,9.052,8.735,8.100,7.747,8.277,9.109,9.295,9.109
8.745,8.950,9.323,9.513,9.180,8.791,8.591,8.602,9.005,9.153
7.217,6.978,6.595,6.555,7.286,7.006,6.575,6.491,6.495,6.526
7.252,7.523,6.846,6.648,7.670,7.620,7.028,6.912,6.759,6.883
12.004,12.602,12.093,12.183,11.895,11.346,10.373,10.021,9.235,9.502
10.622,11.027,10.528,10.272,10.164,9.871,9.316,9.544,9.547,9.347
11.356,11.632,11.172,11.795,11.827,11.570,11.101,11.078,10.680,10.647
10.174,10.121,10.550,10.101,9.735,9.837,9.734,9.540,9.427,9.779
11.683,11.669,11.531,11.904,11.840,11.753,11.482,12.062,12.093,12.173
8.308,8.386,8.029,7.932,7.848,7.909,7.016,7.135,7.110,7.284
7.075,7.025,6.972,6.688,6.517,6.667,6.440,6.333,6.381,6.438
8.368,8.683,8.095,9.053,9.060,9.078,9.283,9.332,9.012,8.946
11.688,11.871,11.417,11.485,11.755,11.731,11.695,11.797,11.768,11.535
10.640,11.006,10.784,11.245,10.178,10.017,10.410,10.261,9.893,9.884
8.894,8.774,8.477,8.091,7.593,7.596,8.119,8.497,8.233,8.236
8.428,8.634,8.793,8.279,8.332,8.760,8.764,7.965,8.087,7.925
7.968,8.642,7.881,8.066,8.050,7.862,7.628,7.391,7.563,7.433
9.385,9.338,9.126,9.260,8.629,8.596,7.858,7.053,6.810,6.819
8.864,9.200,8.615,8.013,7.690,7.880,8.053,8.110,7.974,7.630
7.427,7.467,7.110,6.890,6.890,6.716,7.799,7.871,7.970,8.341
6.715,6.562,6.675,6.625,6.552,6.713,6.932,6.754,6.623,6.593
8.553,8.545,8.129,7.614,7.752,7.944,8.042,8.077,8.126,7.907
8.161,8.391,7.759,7.829,7.068,6.780,6.808,6.713,6.541,6.720
11.881,12.085,12.036,12.278,12.097,11.441,10.857,10.261,10.214,10.406
12.906,12.773,12.389,12.429,12.286,12.056,12.000,12.170,11.968,11.818
6.917,7.093,7.095,6.940,7.694,7.887,8.220,8.224,8.228,7.874
8.441,8.473,8.211,7.970,8.127,8.727,9.233,9.033,8.814,8.618
9.361,9.588,8.683,8.703,9.047,8.814,9.204,9.467,9.647,9.547
8.170,7.907,7.453,7.416,7.427,7.508,7.328,7.018,6.979,6.893
8.759,8.705,8.487,8.190,7.704,7.745,7.624,8.438,8.630,8.756
8.940,8.965,8.621,8.880,8.843,8.690,8.580,8.883,9.218,9.220
9.573,9.858,9.741,9.805,8.832,8.314,7.962,7.543,7.465,7.215
10.546,10.223,9.995,9.631,10.617,10.628,9.828,9.251,9.116,8.978
12.143,12.119,11.542,11.729,11.819,11.422,11.045,10.614,10.436,10.495
8.605,8.751,8.341,7.649,7.378,7.521,7.753,7.813,7.524,7.372
13.755,13.937,13.217,13.151,12.919,12.480,12.066,12.242,12.264,12.580
9.897,9.753,9.391,9.717,10.489,10.616,10.284,9.802,9.430,9.004
10.888,11.125,10.571,10.722,10.732,10.403,10.075,9.996,9.682,9.911
7.376,7.281,7.556,7.544,7.095,7.575,8.616,8.448,8.891,9.127
7.745,7.699,7.322,6.837,7.145,7.292,7.910,8.191,8.272,8.254
6.487,6.393,6.372,6.214,6.643,6.788,6.635,6.423,6.465,6.556
9.977,10.444,9.420,8.782,8.441,8.239,8.162,7.877,8.068,8.105
9.404,9.095,8.946,8.459,8.634,8.792,8.027,8.157,7.777,7.770
6.052,6.154,6.373,6.908,6.852,6.794,6.859,6.611,6.307,6.485
7.903,8.152,7.708,8.259,7.984,7.898,8.132,7.968,7.995,7.795
6.325,6.523,6.676,6.324,6.815,7.205,6.819,6.634,6.279,6.380
8.661,8.823,8.553,8.651,8.736,8.774,8.387,8.367,8.288,7.859
6.628,6.867,7.190,6.459,6.348,6.335,6.405,6.978,6.976,6.938
8.928,8.713,8.580,7.227,7.074,6.708,6.696,7.076,7.181,7.246
8.263,8.600,8.026,7.673,7.703,7.812,8.008,7.534,7.527,7.329
11.507,11.595,11.550,11.611,11.856,11.904,11.627,11.603,11.190,11.518
8.879,8.761,8.323,8.101,8.418,8.519,8.575,8.428,9.106,9.077
8.518,8.535,8.690,8.051,7.429,7.694,7.602,7.439,7.330,7.096
11.693,12.062,11.402,11.485,10.901,10.422,10.175,10.097,9.891,9.878
6.680,6.496,6.553,6.629,7.546,7.857,7.828,7.909,7.839,7.771
11.204,11.089,10.898,10.980,10.834,10.201,9.638,9.459,9.687,10.032
11.789,11.847,11.375,10.763,10.458,9.809,8.657,7.633,7.306,7.577
7.939,7.997,8.111,8.246,7.833,7.795,7.852,7.992,8.001,7.976
8.018,8.221,7.585,7.618,7.580,7.439,6.954,7.152,7.231,7.006
8.731,9.304,8.654,9.513,9.562,9.484,9.683,9.634,9.398,9.284
9.424,9.653,10.126,9.822,9.019,8.944,9.747,9.915,9.864,10.079
8.435,8.208,8.044,7.622,7.169,6.956,6.831,7.231,7.487,7.335
7.885,7.907,7.564,7.613,8.021,7.872,7.255,7.159,7.147,7.116
7.819,7.671,7.318,7.240,7.155,7.028,6.942,7.162,6.969,6.824
7.815,8.111,7.778,7.489,7.387,7.556,7.419,7.150,7.022,7.246
9.275,9.331,8.967,9.297,8.423,8.810,9.121,9.359,9.626,9.640
10.941,11.331,10.486,9.988,10.141,9.863,9.632,10.051,10.281,10.142
9.537,9.954,9.157,9.609,10.577,10.964,10.684,9.739,9.477,9.202
6.366,6.396,6.173,6.143,6.283,6.236,6.341,6.614,6.574,6.534
7.575,7.602,7.156,7.316,7.250,7.289,7.312,7.148,7.190,6.954
6.462,6.428,6.430,6.466,6.402,6.433,6.293,6.548,6.804,6.658
12.009,11.709,11.429,11.236,11.393,11.036,11.116,11.286,10.937,10.983
9.640,9.819,9.116,9.380,9.465,9.494,9.365,9.373,9.444,9.322
9.547,9.266,8.673,8.179,7.507,7.295,7.059,7.177,6.937,6.998
8.590,8.671,8.501,8.655,9.058,9.177,8.432,8.227,7.651,7.643
10.753,10.798,10.905,11.344,10.675,10.125,9.121,9.411,9.495,9.580
11.942,12.460,11.598,11.629,11.665,11.492,11.459,11.362,11.024,10.913
8.883,9.027,9.252,9.552,9.109,9.290,8.979,8.285,8.015,8.244
9.124,9.258,9.068,8.999,7.578,7.423,7.370,7.310,7.207,7.421
6.261,6.223,6.305,6.313,6.797,6.562,6.925,7.152,6.893,7.100
6.414,6.489,6.385,6.419,6.464,6.441,7.198,7.407,7.582,7.574
7.772,7.525,7.234,8.109,8.418,8.906,8.697,8.709,8.532,8.399
10.655,10.825,10.617,10.186,10.738,10.659,9.349,8.183,8.507,8.704
7.577,7.859,7.467,7.224,7.467,7.411,7.794,8.550,9.986,10.085
9.016,9.124,8.728,8.209,8.157,7.977,8.236,8.469,8.246,8.173
7.189,7.114,6.824,7.158,6.824,6.686,7.331,7.280,7.733,8.084
7.845,8.010,7.762,7.508,8.144,8.603,8.429,7.508,7.725,7.425
11.858,11.960,11.316,10.841,11.660,11.358,9.830,9.711,9.914,10.349
9.653,9.761,9.186,9.665,9.959,10.217,10.341,10.445,10.145,10.055
6.239,6.185,6.158,6.139,6.206,6.645,7.362,6.959,7.029,6.856
6.470,6.592,6.918,6.798,6.969,7.022,7.000,7.187,7.388,6.975
8.452,8.614,8.536,9.243,8.796,9.068,9.064,8.245,8.378,8.728
7.256,7.490,7.517,7.826,7.940,8.140,7.484,8.331,8.695,8.586
8.894,9.285,9.233,10.132,9.277,8.829,8.927,9.410,10.062,9.925
8.637,8.769,9.164,9.436,9.380,10.211,11.896,11.763,11.162,10.692
6.952,6.650,6.556,6.707,6.928,6.936,6.579,6.807,6.894,7.635
9.123,9.207,8.624,8.411,8.522,8.947,9.416,9.882,9.806,9.831
11.909,12.144,11.443,11.187,10.657,10.649,10.676,10.652,10.135,10.485
7.644,7.611,7.811,8.758,9.669,10.037,9.823,9.497,9.691,9.307
6.939,7.010,6.735,6.991,6.802,7.137,6.692,6.755,6.836,7.043
7.211,6.814,6.680,6.752,6.642,6.544,6.497,6.391,6.441,6.559
10.689,10.618,10.437,9.762,9.655,10.233,9.926,9.827,9.863,9.549
9.662,9.078,8.786,8.764,8.726,8.804,8.894,8.491,8.563,8.326
6.727,6.458,6.498,6.658,6.748,6.866,6.728,6.854,6.594,6.721
10.139,9.988,9.755,9.201,9.041,9.428,8.856,8.402,7.866,7.809
8.706,8.410,8.467,7.581,6.733,6.564,6.483,6.567,6.676,6.760
7.714,7.549,7.325,6.744,6.640,6.438,6.881,7.130,7.186,7.357
7.584,8.002,8.248,8.212,7.971,7.843,7.126,7.402,7.440,8.198
